bins,vals
0.0016375848218063646,720220.0
0.004558406710873052,1990470.0
0.0074792285999397395,2647420.0
0.010400050489006427,3087033.0
0.013320872378073115,3323984.0
0.016241694267139804,3329854.0
0.01916251615620649,3311769.0
0.022083338045273175,3220453.0
0.025004159934339867,2818146.0
0.027924981823406553,2583693.0
0.030845803712473238,2340348.0
0.033766625601539924,2077110.0
0.036687447490606616,1799841.0
0.0396082693796733,1571618.0
0.042529091268739994,1384440.0
0.04544991315780668,1188931.0
0.048370735046873364,1101472.0
0.05129155693594005,956437.0
0.05421237882500674,869167.0
0.05713320071407343,711353.0
0.06005402260314012,623803.0
0.0629748444922068,546647.0
0.06589566638127349,529167.0
0.06881648827034018,433311.0
0.07173731015940688,351719.0
0.07465813204847355,339750.0
0.07757895393754025,303806.0
0.08049977582660692,257394.0
0.08342059771567362,214274.0
0.08634141960474032,192942.0
0.08926224149380699,163925.0
0.09218306338287369,138291.0
0.09510388527194036,142585.0
0.09802470716100706,107243.0
0.10094552905007373,89553.0
0.10386635093914043,94757.0
0.10678717282820713,75705.0
0.1097079947172738,61710.0
0.1126288166063405,48875.0
0.11554963849540717,51371.0
0.11847046038447387,38645.0
0.12139128227354055,42249.0
0.12431210416260724,29137.0
0.1272329260516739,28601.0
0.13015374794074058,24213.0
0.1330745698298073,24982.0
0.13599539171887398,17235.0
0.13891621360794065,19462.0
0.14183703549700735,16345.0
0.14475785738607405,13804.0
0.14767867927514072,9914.0
0.1505995011642074,6832.0
0.15352032305327412,8118.0
0.1564411449423408,6687.0
0.15936196683140746,4891.0
0.16228278872047416,3243.0
0.16520361060954086,5239.0
0.16812443249860753,5049.0
0.17104525438767423,3757.0
0.17396607627674093,4904.0
0.1768868981658076,2293.0
0.17980772005487428,1080.0
0.18272854194394098,1782.0
0.18564936383300767,597.0
0.18857018572207435,909.0
0.19149100761114105,17.0
0.19441182950020774,638.0
0.19733265138927442,2210.0
0.2002534732783411,839.0
0.2031742951674078,1039.0
0.20609511705647449,1540.0
0.20901593894554116,628.0
0.21193676083460786,405.0
0.21485758272367456,0.0
0.21777840461274123,0.0
0.2206992265018079,129.0
